maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0.5,200,120,1.0,0.5032882931144416,0.13199076235981042,,-0.6865921257237907,-2.0250233409672775,100.0,1.0,0.8,1.2,0.036813091968619725,True,141,262
1.0,200,120,1.0,0.5194381709403618,1.2279475052028619,,-0.6550074920025635,0.20534408060508158,100.0,1.0,0.8,1.2,1.3167362380446856,True,57,112
1.5,200,120,1.0,0.6084596509185922,1.0892860050845599,,-0.4968246778433348,0.08552244040100095,100.0,1.0,0.8,1.2,1.3271930427073024,True,55,111
2.0,200,120,1.0,1.2202896744229135,0.210601521056076,,0.19908826861278073,-1.557787456819854,100.0,1.0,0.8,1.2,0.08027907283534313,True,79,153
2.5,200,120,1.0,0.9746634958357598,0.2629977934312953,,-0.02566300003235384,-1.3356096368346435,100.0,1.0,0.8,1.2,0.13913852713160862,True,91,179
3.0,200,120,1.0,0.8407080164670666,1.1041463233329707,,-0.17351086541939614,0.0990724783232324,100.0,1.0,0.8,1.2,1.1318266708587672,True,45,90
0.5,200,150,1.0,0.45505247542633853,1.1577299475731395,,-0.7873425360739124,0.14646114605869132,100.0,1.0,0.8,1.2,0.7447292991689616,True,78,155
1.0,200,150,1.0,0.5155495605256676,1.2338180254710553,,-0.6625218394563956,0.2101134474054802,100.0,1.0,0.8,1.2,1.156624568823137,True,61,115
1.5,200,150,1.0,0.6094050828626095,1.1449469293614354,,-0.49527207169962556,0.13535828602933644,100.0,1.0,0.8,1.2,1.3492154111795842,True,60,116
2.0,200,150,1.0,1.2410219648585366,1.2375040395471453,,0.21593520538778618,0.21309647973590204,100.0,1.0,0.8,1.2,1.5841044503800492,True,45,91
2.5,200,150,1.0,0.9392503368537132,1.1767333940166917,,-0.0626732358869592,0.16274228946526798,100.0,1.0,0.8,1.2,0.9754665368253358,True,48,94
3.0,200,150,1.0,0.8369558573291612,1.1160087505224496,,-0.1779839490361542,0.10975870489831585,100.0,1.0,0.8,1.2,1.1974540431549017,True,46,90
0.5,200,200,1.0,0.46646492334352246,1.1840960942449286,,-0.7625724526395834,0.16897969384830253,100.0,1.0,0.8,1.2,0.952766047426395,True,54,107
1.0,200,200,1.0,0.4592174952753103,0.6140629505269752,,-0.7782313352354074,-0.48765783080211944,100.0,1.0,0.8,1.2,0.24949398589628674,True,60,117
1.5,200,200,1.0,0.9837531088557804,1.0525019394263928,,-0.01638031904633798,0.0511701292581106,100.0,1.0,0.8,1.2,1.0381903935104333,True,69,131
2.0,200,200,1.0,1.2497009451449754,1.26786065955367,,0.22290427880680663,0.2373309600347916,100.0,1.0,0.8,1.2,1.4699481995904442,True,48,95
2.5,200,200,1.0,0.9559833607128342,1.1877848777572602,,-0.04501477119430457,0.17209012521470643,100.0,1.0,0.8,1.2,1.0973245923536947,True,55,109
3.0,200,200,1.0,0.835025100340686,1.1339290500103572,,-0.1802934942948363,0.12568863721978568,100.0,1.0,0.8,1.2,1.494640609730551,True,47,96
0.5,400,240,1.0,0.3244684004626251,0.1503701258010999,,-1.1255671267395115,-1.8946555188378977,100.0,1.0,0.8,1.2,0.03232122043380148,True,81,156
1.0,400,240,1.0,1.182170018896082,1.3657780791258811,,0.1673517486535293,0.31172428757411375,100.0,1.0,0.8,1.2,1.0773570361322466,True,59,122
1.5,400,240,1.0,0.47558111336838044,0.7276609428231336,,-0.7432178261222693,-0.3179200771553351,100.0,1.0,0.8,1.2,0.36267916805458644,True,51,100
2.0,400,240,1.0,0.6855940157914973,0.16217900469748603,,-0.37746964016213075,-1.819054586508321,100.0,1.0,0.8,1.2,0.03815509015446665,True,70,142
2.5,400,240,1.0,0.2912233792224669,0.39962144130377436,,-1.2336646800908992,-0.9172375767308671,100.0,1.0,0.8,1.2,0.270283618031532,True,59,118
3.0,400,240,1.0,0.636407942090871,0.16335383475547058,,-0.4519155028809912,-1.8118366655113696,100.0,1.0,0.8,1.2,0.04342912984357021,True,94,184
0.5,400,300,1.0,0.6769127698997041,1.0258924801467935,,-0.3902128623778251,0.025562946078615593,100.0,1.0,0.8,1.2,0.9584646614648614,True,51,101
1.0,400,300,1.0,0.6929761753459989,0.1592444809326449,,-0.36675965939330823,-1.837314641754313,100.0,1.0,0.8,1.2,0.027947294576834397,True,93,186
1.5,400,300,1.0,0.3557076535883181,0.15779872074356946,,-1.0336460832833412,-1.84643497742471,100.0,1.0,0.8,1.2,0.03564454954746859,True,113,214
2.0,400,300,1.0,0.6967027340216109,0.1687250487374787,,-0.36139645270859233,-1.7794848194952262,100.0,1.0,0.8,1.2,0.041472329254418114,True,77,146
2.5,400,300,1.0,0.6681936090288069,0.17765163988421712,,-0.40317731356375563,-1.7279307255742156,100.0,1.0,0.8,1.2,0.06378248621545728,True,60,119
3.0,400,300,1.0,1.6705059931016346,0.20391490708855656,,0.5131265704177177,-1.5900524942724683,100.0,1.0,0.8,1.2,0.06932211456866089,True,93,178
0.5,400,400,1.0,0.4274949392473456,0.15131884433163745,,-0.8498128286932971,-1.8883661164944407,100.0,1.0,0.8,1.2,0.03428498222868957,True,69,136
1.0,400,400,1.0,0.5227784859123044,0.1383866463895292,,-0.6485974497385316,-1.9777037260783943,100.0,1.0,0.8,1.2,0.03306344865765867,True,52,104
1.5,400,400,1.0,0.3802061500057032,0.16318483212860777,,-0.9670416733466316,-1.8128717811597888,100.0,1.0,0.8,1.2,0.028233617636907703,True,102,196
2.0,400,400,1.0,0.7121349220449272,0.16948861078332184,,-0.3394878882683867,-1.7749695474379343,100.0,1.0,0.8,1.2,0.04437224226413786,True,75,146
2.5,400,400,1.0,0.6809514334212978,0.17815082115219782,,-0.38426429193774253,-1.7251247776105876,100.0,1.0,0.8,1.2,0.057832731374237556,True,69,134
3.0,400,400,1.0,1.729865054268403,0.21455247487713083,,0.5480434021542091,-1.5392009324112692,100.0,1.0,0.8,1.2,0.0667196612198519,True,92,179
0.5,600,360,1.0,0.3336820488968127,0.17179606631443473,,-1.0975666888077775,-1.761447166583324,100.0,1.0,0.8,1.2,0.010185189915355816,True,91,178
1.0,600,360,1.0,0.2928788941268313,0.1951015511114812,,-1.227996086034867,-1.6342350810439208,100.0,1.0,0.8,1.2,0.026547636978459556,True,104,195
1.5,600,360,1.0,0.31380522037619724,0.2008304991559072,,-1.1589828028235023,-1.6052940144717822,100.0,1.0,0.8,1.2,0.02497041833540557,True,67,132
2.0,600,360,1.0,0.4606602250495075,0.22391215133881093,,-0.7750945466703818,-1.4965014855735488,100.0,1.0,0.8,1.2,0.03432596256885818,True,67,129
2.5,600,360,1.0,0.39482055165384067,0.1795434663667269,,-0.9293239169168779,-1.7173379479071043,100.0,1.0,0.8,1.2,0.025449945682464246,True,73,142
3.0,600,360,1.0,0.5259800298782951,0.23188296693344163,,-0.6424920329760002,-1.4615224874680801,100.0,1.0,0.8,1.2,0.042231406827161755,True,71,137
0.5,600,450,1.0,0.33169385548588526,0.17652341429535515,,-1.103542857512178,-1.7343017525100026,100.0,1.0,0.8,1.2,0.013158277070099068,True,91,176
1.0,600,450,1.0,0.6210857099040382,1.0979820071494035,,-0.4762861874032839,0.09347395602174526,100.0,1.0,0.8,1.2,0.9159319772709349,True,53,108
1.5,600,450,1.0,0.31421912076937053,0.20208229048486528,,-1.1576646996036684,-1.5990802858991338,100.0,1.0,0.8,1.2,0.026277395902593523,True,71,132
2.0,600,450,1.0,0.434778362654947,0.24676601230194875,,-0.8329188888764125,-1.3993147099596117,100.0,1.0,0.8,1.2,0.03721212517423919,True,72,136
2.5,600,450,1.0,0.4089327448142418,0.17906981449177958,,-0.8942045745677514,-1.7199795240876572,100.0,1.0,0.8,1.2,0.0217802817843585,True,86,169
3.0,600,450,1.0,0.5361466264759598,0.23328001419153288,,-0.6233475984630561,-1.4555157693270853,100.0,1.0,0.8,1.2,0.06156941105677016,True,71,136
0.5,600,600,1.0,0.339981792180365,0.14778462119355515,,-1.0788632152166027,-1.911999327346209,100.0,1.0,0.8,1.2,0.014910349643727248,True,86,173
1.0,600,600,1.0,0.1402935611471187,0.1812050457406436,,-1.9640181863900188,-1.7081260395101652,100.0,1.0,0.8,1.2,0.04823452345308365,True,74,143
1.5,600,600,1.0,0.3630068408774976,0.21043478788766654,,-1.013333599502303,-1.558579470114591,100.0,1.0,0.8,1.2,0.025005302436211907,True,71,137
2.0,600,600,1.0,0.43606389592921163,0.2556318960807647,,-0.8299664960741915,-1.3640167752158878,100.0,1.0,0.8,1.2,0.04523802620101415,True,66,127
2.5,600,600,1.0,0.4753228428099648,0.14200777266920786,,-0.7437610367443062,-1.9518734857717994,100.0,1.0,0.8,1.2,0.030371249485685002,True,58,114
3.0,600,600,1.0,0.5591111422340806,0.23718060552440298,,-0.5814070022729929,-1.4389333794324597,100.0,1.0,0.8,1.2,0.059720159222956516,True,57,113
