n_int,n_bd,n_terminal,n_lower,n_upper,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,optimization_time_sec,final_fit_time_sec,pricing_time_sec,total_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
200,120,40,40,40,6,51,0.40595357214944067,1.6004703726387248,0.015553635982046291,2.3895205011358485,0.01365162490401417,0.00107720895903185,2.4042493349988945,6,0,0.9732247279480299,1.7574692431361154
400,240,80,80,80,6,51,0.20576791268245895,1.5819991247458842,0.006927977851302406,9.740824249922298,0.050330958038102835,0.0017358341137878597,9.792891042074189,6,0,0.4714407702255261,1.0659943348556995
600,360,120,120,120,6,51,0.057058609152074787,0.19313733162726976,0.00195125158257343,26.22966145904502,0.11660366709111258,0.00243991706520319,26.348705043201335,6,0,0.04803474855520808,0.07889367279643181
800,480,160,160,160,6,51,0.04379785023865054,0.10730253184409833,0.0013677156676621483,55.968524165975396,0.241667750000488,0.003241084050387144,56.21343300002627,6,0,0.027574776686304914,0.07476424457834256
200,150,50,50,50,6,51,0.3312067978828712,1.6440747785575383,0.013638593670829122,2.631852665974293,0.01483270904282108,0.0011866679415106773,2.6478720429586247,6,0,0.7461394736084056,1.7833820569719394
400,300,100,100,100,6,51,0.05501402066919349,0.17621625553297093,0.0020297452164942742,12.778213416109793,0.06046204298036173,0.0018576260190457106,12.8405330851092,6,0,0.052245332534498284,0.0919550384296383
600,450,150,150,150,6,51,0.04826873024743104,0.15550524822526057,0.001621281739824444,34.01140429300722,0.14309708401560783,0.0026520429528318346,34.15715341997566,6,0,0.036042242007513,0.06863420930437936
800,600,200,200,200,6,51,0.028565287970195526,0.09661582079733222,0.0008797557904372758,57.56509133212967,0.28692870994564146,0.003799416881520301,57.85581945895683,6,0,0.03353548021293606,0.10788143835436027
200,200,68,66,66,6,51,0.16959188269043152,1.6483383997197547,0.005130015777857505,3.7858180830953643,0.018859957926906645,0.0015462510054931045,3.806224292027764,6,0,0.6394249033773298,1.7549354700537132
400,400,134,133,133,6,51,0.06306413730452318,0.20051642638141232,0.0021680808713094584,18.630261626036372,0.09443395806010813,0.002204667078331113,18.72690025117481,6,0,0.049311886799510846,0.07925095905957216
600,600,200,200,200,6,51,0.035404198278112455,0.13068985702707892,0.0011564901340160541,52.00441587396199,0.22924458503257483,0.003287165949586779,52.23694762494415,6,0,0.03787289775212648,0.06626173572781754
800,800,268,266,266,6,51,0.020512257378585898,0.09128291105540143,0.0006454274242645633,92.0445457919268,0.5204834999749437,0.0045798339997418225,92.56960912590148,6,0,0.045371254762420175,0.11411399317566101
