maturity,n_int,n_bd,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,optimization_time_sec,final_fit_time_sec,pricing_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0.5,200,120,40,40,40,20260512,20260513,0.6404433132696382,1.3758056973590627,0.0349848492224399,0.4107556660310365,0.0030154589912854135,0.00017570797353982925,0.41394683299586177,True,Optimization terminated successfully.,59,115,0.7479544816645266
0.5,400,240,80,80,80,20260512,20260513,0.6825064795690711,1.5819991247458842,0.023772875941638665,1.4089344589738175,0.009021958045195788,0.00031100003980100155,1.4182674170588143,True,Optimization terminated successfully.,55,111,0.8574423519050957
0.5,600,360,120,120,120,20260512,20260513,0.06138420629029174,0.1402025708174719,0.0036658820383328344,5.150849084020592,0.02029883401701227,0.00042691704584285617,5.171574835083447,True,Optimization terminated successfully.,90,172,0.0051328058753321365
0.5,800,480,160,160,160,20260512,20260513,0.04374136366521016,0.09435299108561424,0.002275951419955413,8.774223915999755,0.03939083300065249,0.000527041032910347,8.814141790033318,True,Optimization terminated successfully.,78,151,0.004534910281499969
1.0,200,120,40,40,40,20260612,20260613,0.8165170498175162,1.6004703726387248,0.037854616786123646,0.303744541015476,0.002089999965392053,0.00017266697250306606,0.3060072079533711,True,Optimization terminated successfully.,50,96,0.7963062721614245
1.0,400,240,80,80,80,20260612,20260613,0.33502330173884104,0.5959207743675345,0.0118660653033794,1.3498171669780277,0.008319708984345198,0.00028325000312179327,1.3584201259654947,True,Optimization terminated successfully.,58,113,0.7799465830276789
1.0,600,360,120,120,120,20260612,20260613,0.015350069701588115,0.02605270808702187,0.0007407107045387241,3.732463792024646,0.018860416021198034,0.000399957993067801,3.751724166038912,True,Optimization terminated successfully.,66,136,0.03060822375363354
1.0,800,480,160,160,160,20260612,20260613,0.03576215957316183,0.07146645053462208,0.0012595115681620077,9.084347958036233,0.042354832985438406,0.0005582500016316772,9.127261041023303,True,Optimization terminated successfully.,79,165,0.02947455904364117
1.5,200,120,40,40,40,20260712,20260713,0.08573241285625509,0.1245704290909515,0.0031242265178676783,0.664789084054064,0.002107249980326742,0.00018491700757294893,0.6670812510419637,True,Optimization terminated successfully.,89,172,0.06145333608068605
1.5,400,240,80,80,80,20260712,20260713,0.028121412325753346,0.04058661208365777,0.001163137781780193,1.8129790829843841,0.008344041998498142,0.00028429203666746616,1.8216074170195498,True,Optimization terminated successfully.,75,151,0.028220031011614227
1.5,600,360,120,120,120,20260712,20260713,0.01728193787591005,0.031886132961993496,0.00034808797621206915,4.269152374996338,0.019359208003152162,0.0003998340107500553,4.28891141701024,True,Optimization terminated successfully.,81,154,0.0783230645971181
1.5,800,480,160,160,160,20260712,20260713,0.021360678944898556,0.0292928403168915,0.0007709158639882706,9.573351832979824,0.039863792015239596,0.0005182090098969638,9.613733834004961,True,Optimization terminated successfully.,87,171,0.013631910107145255
2.0,200,120,40,40,40,20260812,20260813,0.5398927416212447,0.9939050064319481,0.009419088513092935,0.3772660420509055,0.002117832947988063,0.0001846670056693256,0.3795685420045629,True,Optimization terminated successfully.,61,118,1.136116328188451
2.0,400,240,80,80,80,20260812,20260813,0.06736458696280916,0.10496651098657139,0.0019377802516662062,2.4990131660015322,0.00804112502373755,0.0002810420119203627,2.50733533303719,True,Optimization terminated successfully.,108,210,0.04429419001253376
2.0,600,360,120,120,120,20260812,20260813,0.1385175061951562,0.19313733162726976,0.0040464506763115545,4.298210375010967,0.01923766703112051,0.00039795797783881426,4.317846000019927,True,Optimization terminated successfully.,81,156,0.05426902163752348
2.0,800,480,160,160,160,20260812,20260813,0.08045109052687759,0.10730253184409833,0.002122881914204792,10.177052874991205,0.04043287498643622,0.000583791988901794,10.218069541966543,True,Optimization terminated successfully.,95,182,0.02098247693459117
2.5,200,120,40,40,40,20260912,20260913,0.24607431145390168,0.3823071448144164,0.005592963853303164,0.32272320898482576,0.0021002080175094306,0.0001765830093063414,0.32500000001164153,True,Optimization terminated successfully.,53,101,1.3400487064569762
2.5,400,240,80,80,80,20260912,20260913,0.02667948711696845,0.07342032361970041,0.0005639551140033239,1.4330417499877512,0.008243832970038056,0.000291750009637326,1.4415773329674266,True,Optimization terminated successfully.,63,120,0.05274713054053452
2.5,600,360,120,120,120,20260912,20260913,0.03901390327477113,0.07053902055915273,0.0012462012424752534,3.92288358299993,0.019479417009279132,0.0004059580387547612,3.9427689580479637,True,Optimization terminated successfully.,73,142,0.040981702671209375
2.5,800,480,160,160,160,20260912,20260913,0.025652097894860417,0.042026263473395886,0.0006467572831160055,6.681828917004168,0.03996379201998934,0.0005213340045884252,6.722314043028746,True,Optimization terminated successfully.,63,121,0.02206055917260935
3.0,200,120,40,40,40,20261012,20261013,0.10706160387808857,0.2633428261291719,0.002346070999450425,0.31024195899954066,0.002220875001512468,0.00018266699044033885,0.31264550099149346,True,Optimization terminated successfully.,49,97,1.7574692431361154
3.0,400,240,80,80,80,20261012,20261013,0.09491220838131091,0.19008570461866015,0.0022640527153466442,1.237038624996785,0.008360291016288102,0.00028450001263991,1.245683416025713,True,Optimization terminated successfully.,52,104,1.0659943348556995
3.0,600,360,120,120,120,20261012,20261013,0.07080403157473147,0.11536380696920645,0.0016601768575701442,4.856102249992546,0.01936812500935048,0.0004092919989489019,4.875879667000845,True,Optimization terminated successfully.,89,174,0.07889367279643181
3.0,800,480,160,160,160,20261012,20261013,0.05581971082689471,0.09240574583024852,0.0011302759565464016,11.67771866696421,0.03966162499273196,0.000532458012457937,11.7179127499694,True,Optimization terminated successfully.,106,208,0.07476424457834256
0.5,200,150,50,50,50,20260512,20260513,0.6252524266609385,1.3298039690678323,0.033578638484240114,0.484467416012194,0.0023166669998317957,0.00019274995429441333,0.4869768329663202,True,Optimization terminated successfully.,71,138,0.8766463160451042
0.5,400,300,100,100,100,20260512,20260513,0.07045019077468259,0.17621625553297093,0.0045430426862617945,3.130235749995336,0.01384329202119261,0.00031387503258883953,3.1443929170491174,True,Optimization terminated successfully.,114,227,0.0123602408294155
0.5,600,450,150,150,150,20260512,20260513,0.0402568113548574,0.08787708425872154,0.0020717944466490585,5.141396332997829,0.023461250006221235,0.0004355419659987092,5.165293124970049,True,Optimization terminated successfully.,75,150,0.005974727140041582
0.5,800,600,200,200,200,20260512,20260513,0.03040557347429584,0.06441665396512519,0.0015433080078310726,9.944074708037078,0.04792562499642372,0.0007234999793581665,9.99272383301286,True,Optimization terminated successfully.,81,157,0.0063877991304522284
