seed_index,base_seed,n_int,n_bd,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,gpr_time_sec,benchmark_time_sec,total_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
0,20260520,800,800,6,51,0.02595432674570518,0.1118866384814794,0.0009024952485920721,0.0021985820015502167,0.011349234531789577,47.56470053998055,0.5107389590702951,0.0007078760536387563,48.07614737510448,6,0,0.05472896863237766,0.11175914865898273
1,20270520,800,800,6,51,0.11619162271742133,1.195468507622323,0.0043450240209748515,0.00217058671016662,0.008523440015552622,45.16351408290211,0.49004758207593113,0.0006212079897522926,45.654182872967795,6,0,0.19401540566855616,1.0101143281798592
2,20280520,800,800,6,51,0.018351839750818482,0.09363974751229875,0.0005783718380886055,0.0022073140404010373,0.0112495930154992,54.623668542015366,0.4885759149910882,0.0006258340436033905,55.11287029105006,6,0,0.03128173762973892,0.0841738640481512
3,20290520,800,800,6,51,0.01952148997276752,0.0914624426569901,0.0006706467312780214,0.0018071354306496963,0.009778470980739905,41.68445220903959,0.4891730429371819,0.0006046669441275299,42.1742299189209,6,0,0.04277416356519121,0.11223495957915422
4,20300520,800,800,6,51,0.0184778637439484,0.10315503806455695,0.0005011699067137321,0.0021362052171021995,0.00749131029926404,54.782752334023826,0.48907245899317786,0.0006186679238453507,55.27244346094085,6,0,0.05249557578447261,0.18349820620864107
5,20310520,800,800,6,51,0.01608835755024586,0.10083191144499892,0.0004780701549965457,0.0032238651460131896,0.029281577130234042,46.208459581946954,0.49093095696298406,0.0006341260159388185,46.70002466492588,6,0,0.03157171781218746,0.05762136329072923
6,20320520,800,800,6,51,0.17169517904729514,1.227105234548404,0.006161344332203792,0.0017017937233266137,0.007910922127155166,46.39940391492564,0.4933402930619195,0.0006279170629568398,46.89337212505052,6,0,0.3731483242314532,1.250391218039315
7,20330520,800,800,6,51,0.028340908988542177,0.10885244607700884,0.0007033824832085093,0.003382536975446445,0.044924284162457646,50.48941941605881,0.5020109580946155,0.0006032499950379133,50.99203362414846,6,0,0.025061471412076302,0.04665356156684275
8,20340520,800,800,6,51,0.031576533287250096,0.24062781491037022,0.000894171253960756,0.00259504243120401,0.027087339198811653,47.93511291698087,0.487795333028771,0.0006280409870669246,48.42353629099671,6,0,0.16830641908525942,0.9173754479067714
9,20350520,800,800,6,51,0.017887956348869152,0.10149837119162441,0.000668260635044319,0.0020155381905913234,0.007984943473568944,56.460757499036845,0.501152248121798,0.0006274189217947423,56.96253716608044,6,0,0.025391473429632338,0.05444702901050599
10,20360520,800,800,6,51,0.03188078043369352,0.12907932640351305,0.0010990257714051496,0.0018544321940726907,0.006641900230652942,50.012897124979645,0.5090508338762447,0.0006172499270178378,50.52256520878291,6,0,0.04322445362548574,0.10060038927464933
11,20370520,800,800,6,51,0.01953918165056769,0.11453203982594573,0.0006845558333361929,0.0024562096039860274,0.014456477413960302,40.82261124998331,0.488896333030425,0.0006252499879337847,41.31213283300167,6,0,0.03436924702501732,0.08068593546378142
12,20380520,800,800,6,51,0.025449612873888434,0.12467123453123463,0.0008180853684725664,0.0019619229921186295,0.008500947362077987,51.045015291078016,0.49127766699530184,0.0006102909683249891,51.53690324904164,6,0,0.02505891501839065,0.049124604514837966
13,20390520,800,800,6,51,0.01366308228606226,0.10171579136195419,0.00031563372639457806,0.0021424702745154655,0.02425083811067125,43.69712283404078,0.4900568330194801,0.0006427929038181901,44.18782245996408,6,0,0.02475681284350696,0.03309492040906209
14,20400520,800,800,6,51,0.040715965154868944,0.20878092002758564,0.001202276202845902,0.0016908669179414458,0.005074266969852683,46.71275283396244,0.48583633301313967,0.0006067500216886401,47.19919591699727,6,0,0.18931433951509177,0.9854980062815091
15,20410520,800,800,6,51,0.03544857085584296,0.3201021077971937,0.0009101880782682812,0.001816678917162969,0.006233022686516837,41.384625417005736,0.4828339589294046,0.0006256250781007111,41.86808500101324,6,0,0.17056963418580515,0.8917327365292433
16,20420520,800,800,6,51,0.020045004711886062,0.07258301681972057,0.0005304047501924349,0.0021403648333421263,0.013862031478104692,53.45572191599058,0.5130091229220852,0.0006945410859771073,53.96942557999864,6,0,0.029784922724062243,0.06001624944755315
17,20430520,800,800,6,51,0.014664111880885962,0.08774485472665106,0.00046569538492071154,0.0024316037540514875,0.010986561725892104,46.5846832479001,0.4966639579506591,0.0006255830521695316,47.08197278890293,6,0,0.01670256786021897,0.03332949016427241
18,20440520,800,800,6,51,0.11843289002415017,1.4924175576768592,0.00372610522390189,0.0022524433970332078,0.02639393117897404,52.08942874899367,0.49348920804914087,0.0006663749227300286,52.58358433196554,6,0,0.15496923672847515,0.8248445568437262
19,20450520,800,800,6,51,0.02424016627525444,0.12269848196771704,0.0007222671002414078,0.003116060692681662,0.03370920425681469,44.789229915943,0.49126970703946427,0.000657708034850657,45.28115733101731,6,0,0.019883552431564405,0.030887138514941813
