maturity,m,d,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0.5,200,200,1.0,1.477456244630356,1.0648227021331984,,0.3903218553962193,0.0628083084323399,100.0,1.0,0.8,1.2,0.9615119151863529,True,26,51
0.5,400,400,1.0,0.19648446122098362,0.3086391959856329,,-1.6271719285554402,-1.1755823348513328,100.0,1.0,0.8,1.2,0.025759999708566315,True,21,46
0.5,600,600,1.0,0.23922849076211525,0.11100742964655377,,-1.430336155461248,-2.19815814615703,100.0,1.0,0.8,1.2,0.008039025711567489,True,56,108
0.5,800,800,1.0,0.12888099718510174,0.2008958226775014,,-2.0488658028287814,-1.6049688004212226,100.0,1.0,0.8,1.2,0.01756326504591565,True,21,42
1.0,200,200,1.0,0.8139522020101122,0.27877221139249153,,-0.205853634592974,-1.2773602772567303,100.0,1.0,0.8,1.2,0.09622749806849949,True,55,100
1.0,400,400,1.0,0.21389441351348232,0.3170157390944317,,-1.5422727805163619,-1.1488038561972207,100.0,1.0,0.8,1.2,0.08367781412321446,True,19,41
1.0,600,600,1.0,0.675680409747207,0.1740939972272518,,-0.3920350813747023,-1.7481599116809117,100.0,1.0,0.8,1.2,0.03738296666619194,True,61,115
1.0,800,800,1.0,0.19858827439836702,0.3077130894458613,,-1.6165215704113165,-1.1785874579233673,100.0,1.0,0.8,1.2,0.04751403836676443,True,21,46
1.5,200,200,1.0,0.7977716736606665,1.1676268122301177,,-0.22593284570563743,0.1549733232748614,100.0,1.0,0.8,1.2,1.2237224542874805,True,6,13
1.5,400,400,1.0,0.42151249149588865,0.14121194140565316,,-0.8639058661646766,-1.9574933866373427,100.0,1.0,0.8,1.2,0.024650232588160147,True,31,62
1.5,600,600,1.0,0.2788434999139796,0.444329671355122,,-1.277104586750057,-0.8111884890168528,100.0,1.0,0.8,1.2,0.09697415175667695,True,19,42
1.5,800,800,1.0,0.22072172582080804,0.33536171919326,,-1.510852530053258,-1.0925455708914544,100.0,1.0,0.8,1.2,0.07007926648239685,True,21,44
2.0,200,200,1.0,0.7332203553591488,1.1029603991563484,,-0.310309001046323,0.09799783677675061,100.0,1.0,0.8,1.2,0.8697868118735287,True,8,17
2.0,400,400,1.0,0.6867060816904274,0.29710946300357594,,-0.37584890699392703,-1.2136546457802364,100.0,1.0,0.8,1.2,0.06332830494451275,True,21,41
2.0,600,600,1.0,1.6720660574646842,0.1475930969994724,,0.5140600219351281,-1.9132961362056933,100.0,1.0,0.8,1.2,0.05088810689556882,True,51,100
2.0,800,800,1.0,0.6447513611147542,0.12684396076779883,,-0.4388905231492328,-2.064797603311047,100.0,1.0,0.8,1.2,0.020566589179338547,True,30,57
2.5,200,200,1.0,0.7738161332728474,0.24814815441951846,,-0.25642098752385956,-1.3937293143347227,100.0,1.0,0.8,1.2,0.0821879003133022,True,34,67
2.5,400,400,1.0,1.1017272749740885,0.21009923597883007,,0.0968791982273372,-1.5601753076021918,100.0,1.0,0.8,1.2,0.04594667849344888,True,42,80
2.5,600,600,1.0,1.184518069929765,0.15020418172458294,,0.16933599982306458,-1.895759698997161,100.0,1.0,0.8,1.2,0.04638613889435814,True,45,88
2.5,800,800,1.0,0.6054305145287073,0.179024745379619,,-0.5018154797521214,-1.7202312403517341,100.0,1.0,0.8,1.2,0.027866397508527437,True,31,60
3.0,200,200,1.0,0.9378122354045282,1.3431294019050146,,-0.06420552548861347,0.29500226576991107,100.0,1.0,0.8,1.2,1.7634608664245754,True,14,29
3.0,400,400,1.0,1.6194453027720577,0.14305703501335112,,0.4820836849138168,-1.9445118819930407,100.0,1.0,0.8,1.2,0.0786718552055739,True,57,107
3.0,600,600,1.0,1.7478563636316848,0.12946648716373702,,0.5583901020216329,-2.0443332177139273,100.0,1.0,0.8,1.2,0.06626386415271768,True,48,91
3.0,800,800,1.0,0.45609495292217944,0.316319419768612,,-0.7850542610521287,-1.1510027538792542,100.0,1.0,0.8,1.2,0.13606283189812776,True,21,39
