maturity,m,d,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0.5,200,200,1.0,0.5052489774151229,1.11634770445286,,-0.6827039466190636,0.11006237856320913,100.0,1.0,0.8,1.2,0.267542585265824,True,46,88
0.5,400,400,1.0,1.189331385477998,0.2632732608735072,,0.17339128827757067,-1.3345627714784118,100.0,1.0,0.8,1.2,0.025432899836772348,True,58,108
0.5,600,600,1.0,0.3977045822262139,0.18940635070092693,,-0.9220458050188911,-1.663860568164384,100.0,1.0,0.8,1.2,0.017245960497924023,True,55,103
0.5,800,800,1.0,0.23734482329778928,0.16237731741894193,,-1.4382412446385473,-1.8178325320750996,100.0,1.0,0.8,1.2,0.011833167573211109,True,54,102
1.0,200,200,1.0,0.4210530317473584,0.43013445764656316,,-0.8649964870870799,-0.8436574269712367,100.0,1.0,0.8,1.2,0.09093982516147459,True,38,74
1.0,400,400,1.0,0.30967281175082734,0.30552396535720616,,-1.1722389848433317,-1.18572705710614,100.0,1.0,0.8,1.2,0.030914225393841623,True,43,80
1.0,600,600,1.0,0.9395335682111582,0.21897702468331207,,-0.062371730898730285,-1.5187884647909506,100.0,1.0,0.8,1.2,0.01902134253939363,True,51,98
1.0,800,800,1.0,0.3983494539775265,0.22246859052448073,,-0.9204256338670653,-1.5029693535228346,100.0,1.0,0.8,1.2,0.011716822761588355,True,44,85
1.5,200,200,1.0,1.4448214733082516,0.31902180992066936,,0.3679857660481642,-1.1424958088771202,100.0,1.0,0.8,1.2,0.06489923576925552,True,45,84
1.5,400,400,1.0,0.8967848568674914,0.26408051988864384,,-0.1089392931077301,-1.3315012227605405,100.0,1.0,0.8,1.2,0.02084196994815646,True,48,94
1.5,600,600,1.0,1.0390426457902322,0.23641143708707865,,0.038299756308675756,-1.4421816143874904,100.0,1.0,0.8,1.2,0.022859954630567336,True,55,104
1.5,800,800,1.0,0.6199468429121212,0.1810100155082524,,-0.4781215418571611,-1.7092029149474601,100.0,1.0,0.8,1.2,0.011853519603429074,True,58,110
2.0,200,200,1.0,1.2316211671147195,0.5753811760109081,,0.20833132360021975,-0.5527225430141653,100.0,1.0,0.8,1.2,0.11842793416965153,True,44,84
2.0,400,400,1.0,0.9651867636692355,0.15698145491742158,,-0.03543365888804024,-1.8516276021558136,100.0,1.0,0.8,1.2,0.024589236669068818,True,59,116
2.0,600,600,1.0,2.1187821534279214,0.16885790647919752,,0.7508414676906702,-1.7786977077852004,100.0,1.0,0.8,1.2,0.03265325404826349,True,48,94
2.0,800,800,1.0,2.119969622441083,0.14005040924768813,,0.7514017595440343,-1.9657528551261432,100.0,1.0,0.8,1.2,0.024799373328085118,True,60,115
2.5,200,200,1.0,3.8483515891331903,0.3035129405150558,,1.3476448979468953,-1.1923310317801548,100.0,1.0,0.8,1.2,0.22993834520605835,True,58,110
2.5,400,400,1.0,0.6297512472693804,0.3902356900846392,,-0.46243038317276774,-0.94100438884407,100.0,1.0,0.8,1.2,0.10678647231717757,True,42,81
2.5,600,600,1.0,1.1751317110990924,0.27163487569182415,,0.16138023586641648,-1.3032964832502771,100.0,1.0,0.8,1.2,0.056997358117448715,True,64,124
2.5,800,800,1.0,0.7682066632198753,0.28326165220444216,,-0.2636964892992083,-1.2613842423934307,100.0,1.0,0.8,1.2,0.03590000417407126,True,44,79
3.0,200,200,1.0,4.06284765865205,0.36935358594350787,,1.40188412150866,-0.9960008662593183,100.0,1.0,0.8,1.2,0.09769061231347906,True,51,93
3.0,400,400,1.0,1.4064834367649426,0.3020259371238326,,0.341092572671497,-1.1972423807791295,100.0,1.0,0.8,1.2,0.02014591017649551,True,42,81
3.0,600,600,1.0,1.2699120105292256,0.2253609136662064,,0.2389476150224648,-1.4900521011703463,100.0,1.0,0.8,1.2,0.012484030377246135,True,50,96
3.0,800,800,1.0,1.9760484242091598,0.19393321869516172,,0.6810991052041292,-1.640241412710865,100.0,1.0,0.8,1.2,0.013503279775173934,True,54,103
