maturity,m,d,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,benchmark_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0.5,200,200,68,66,66,20260512,20260513,1.2273015709059338,2.844865497385044,0.07286192549348336,0.003718873644055208,0.004150688528954885,0.37081658304668963,0.0030398330418393016,0.00018595799338072538,0.0009136670269072056,0.0001099579967558384,0.3750659991055727,True,Optimization terminated successfully.,46,88,0.267542585265824
0.5,400,400,134,133,133,20260512,20260513,0.07543796854814667,0.20828941434469783,0.004402947752050697,0.002827018278027534,0.0033272860631502706,1.9058377080364153,0.012107582995668054,0.00030620803590863943,0.00358941697049886,9.770900942385197e-05,1.9219386250479147,True,Optimization terminated successfully.,58,108,0.025432899836772348
0.5,600,600,200,200,200,20260512,20260513,0.038386282303986295,0.08117387566954903,0.002968742787337002,0.0025337180191394417,0.0030884254312175037,4.208892915979959,0.02915666706394404,0.00045887508895248175,0.008762166951783001,0.00010466703679412603,4.247375292121433,True,Optimization terminated successfully.,55,103,0.017245960497924023
0.5,800,800,268,266,266,20260512,20260513,0.022448834953801212,0.04085558212082674,0.0010671350224876139,0.002273079237532926,0.002865118189391461,8.95043570897542,0.06982454191893339,0.0005870829336345196,0.021963790990412235,0.00011591706424951553,9.042927041882649,True,Optimization terminated successfully.,54,102,0.011833167573211109
1.0,200,200,68,66,66,20260612,20260613,0.06362053112871942,0.126459831605926,0.0006000153643227799,0.00404113615275892,0.006677208155438139,0.31307604094035923,0.002778416033834219,0.0001942500239238143,0.0008634160039946437,9.333400521427393e-05,0.3170054570073262,True,Optimization terminated successfully.,38,74,0.09093982516147459
1.0,400,400,134,133,133,20260612,20260613,0.06525233152719506,0.1235266824447443,0.0019546135472284397,0.0034087666476045543,0.004251141173187048,1.4058121249545366,0.012409958988428116,0.0003450840013101697,0.00339075003284961,9.908294305205345e-05,1.4220570009201765,True,Optimization terminated successfully.,43,80,0.030914225393841623
1.0,600,600,200,200,200,20260612,20260613,0.03463524573076136,0.06246525138132508,0.0007908183822211646,0.0022869910872838554,0.0026013890118302603,4.04390562500339,0.02937833301257342,0.0005639579612761736,0.009799416991882026,0.0001045420067384839,4.08375187497586,True,Optimization terminated successfully.,51,98,0.01902134253939363
1.0,800,800,268,266,266,20260612,20260613,0.029130906091664976,0.05402993288907609,0.0008504737175028875,0.002077941566206997,0.002374020703791729,7.606953375041485,0.06638158299028873,0.0006689999718219042,0.019654290983453393,0.0001396669540554285,7.693797915941104,True,Optimization terminated successfully.,44,85,0.011716822761588355
1.5,200,200,68,66,66,20260712,20260713,0.14928028904910096,0.2569415671034534,0.00646337060330845,0.005255013947040677,0.009653411229365968,0.3508482079487294,0.0027314169565215707,0.00019433291163295507,0.0008896660292521119,7.562502287328243e-05,0.3547392488690093,True,Optimization terminated successfully.,45,84,0.06489923576925552
1.5,400,400,134,133,133,20260712,20260713,0.11596627425604612,0.18245852884745517,0.0039968038631414265,0.0041095925553264,0.009839999531185473,1.6008156669558957,0.012000084039755166,0.0003357080277055502,0.003121083020232618,9.541597682982683e-05,1.6163679580204189,True,Optimization terminated successfully.,48,94,0.02084196994815646
