m,n_int,n_bd,maturity,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
400,400,400,0.5,1.0,0.37449992700247925,0.20168388938979334,,-0.9821636709448305,-1.6010537113330832,100.0,1.0,0.8,1.2,0.029300768573906424,True,46,87
600,600,600,0.5,1.0,0.49026142510569204,0.156936722577787,,-0.7128165095251305,-1.8519125957824603,100.0,1.0,0.8,1.2,0.01689843397026798,True,37,72
800,800,800,0.5,1.0,0.2990480215713307,0.15799653118889756,,-1.2071511112254405,-1.8451822006968222,100.0,1.0,0.8,1.2,0.011262624030127719,True,45,85
400,400,400,1.0,1.0,0.8365335073186714,0.1998572971664555,,-0.17848870279005194,-1.6101516812742054,100.0,1.0,0.8,1.2,0.03307330508452249,True,56,108
600,600,600,1.0,1.0,5.104273685059096,1.078153164402483,,1.630078166285755,0.07524954440012721,100.0,1.0,0.8,1.2,0.7011854393454087,True,54,101
800,800,800,1.0,1.0,0.6083623836084999,1.069898684008266,,-0.49698454889684884,0.06756395614789608,100.0,1.0,0.8,1.2,0.49032460283714474,True,39,76
400,400,400,1.5,1.0,0.9121165565918913,0.15081564345302848,,-0.09198749379336663,-1.891697092362614,100.0,1.0,0.8,1.2,0.034112473737018006,True,68,130
600,600,600,1.5,1.0,0.43737422538476417,0.6954894944201969,,-0.8269660993509795,-0.3631393728079244,100.0,1.0,0.8,1.2,0.27851408034385255,True,34,67
800,800,800,1.5,1.0,0.5860346132911913,0.16167968866936822,,-0.5343764240996994,-1.8221381314862986,100.0,1.0,0.8,1.2,0.018390324851777266,True,64,119
400,400,400,2.0,1.0,0.8492940048314663,1.131682963861259,,-0.16334985717379458,0.12370587329446013,100.0,1.0,0.8,1.2,0.6897703729459312,True,34,67
600,600,600,2.0,1.0,0.9031565150745704,1.161977149318723,,-0.10185941270587746,0.15012299327829187,100.0,1.0,0.8,1.2,0.581971343420748,True,34,66
800,800,800,2.0,1.0,1.084764335018663,0.21851904729425303,,0.08136276065271393,-1.520882095274425,100.0,1.0,0.8,1.2,0.035104929548499954,True,47,95
400,400,400,2.5,1.0,13.490712585606605,0.2209912083810959,,2.602001492071905,-1.5096323593366865,100.0,1.0,0.8,1.2,0.27951969485342615,True,105,195
600,600,600,2.5,1.0,0.8281995644465113,0.19066780589637936,,-0.188501133774562,-1.6572226013072884,100.0,1.0,0.8,1.2,0.01981371865462994,True,54,100
800,800,800,2.5,1.0,0.6540142981234413,0.19004959569179955,,-0.4246260651898517,-1.660470210927203,100.0,1.0,0.8,1.2,0.012380176667352298,True,57,106
400,400,400,3.0,1.0,0.8607145574300291,1.117934313918572,,-0.1499923539923035,0.11148261980344634,100.0,1.0,0.8,1.2,1.0292340587848523,True,32,63
600,600,600,3.0,1.0,0.9314465854940935,1.1865263330494724,,-0.07101643304937716,0.17102999053654705,100.0,1.0,0.8,1.2,1.0219730430650311,True,28,52
800,800,800,3.0,1.0,0.8743471390739507,1.1973705126231966,,-0.13427779788826594,0.18012791303517953,100.0,1.0,0.8,1.2,1.0005481127337799,True,23,42
