m,n_int,n_bd,maturity,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,total_gpr_time_sec,series_benchmark_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
400,400,400,0.5,134,133,133,20260606,20260607,0.0490526464720139,0.13349092027468518,0.0006830292312987353,0.0026255592551301765,0.007427457146697108,2.663287749979645,0.019920542021282017,0.0006997089367359877,0.00398845796007663,2.6878964588977396,0.025662082945927978,True,Optimization terminated successfully.,46,87,0.029300768573906424
600,600,600,0.5,200,200,200,20260606,20260607,0.035616050174532725,0.0853273283181264,0.0008761454543006164,0.0017812398003864112,0.004084353598011582,5.032663582940586,0.04318808310199529,0.0009759579552337527,0.008978541940450668,5.085806165938266,0.025662082945927978,True,Optimization terminated successfully.,37,72,0.01689843397026798
800,800,800,0.5,268,266,266,20260606,20260607,0.009858121789080555,0.025463898840932586,0.00021686511149383465,0.0014831723108630506,0.0037254688854773416,11.659238208085299,0.08961558295413852,0.0013899579644203186,0.019123499980196357,11.769367248984054,0.025662082945927978,True,Optimization terminated successfully.,45,85,0.011262624030127719
400,400,400,1.0,134,133,133,20260706,20260707,0.03444873379096832,0.10138099739907536,0.0008375282734613605,0.003135948589624061,0.01404726807853241,3.256861708010547,0.01873570797033608,0.0006792079657316208,0.0036799160297960043,3.2799565399764106,0.03294562501832843,True,Optimization terminated successfully.,56,108,0.03307330508452249
600,600,600,1.0,200,200,200,20260706,20260707,0.15229510565515106,0.43891269745728667,0.0025404338588571095,0.001357194785930864,0.002046576901695865,6.960700707975775,0.04370000003837049,0.0010401660110801458,0.008068416034802794,7.013509290060028,0.03294562501832843,True,Optimization terminated successfully.,54,101,0.7011854393454087
800,800,800,1.0,268,266,266,20260706,20260707,0.14584160600399157,0.4757291847987135,0.0019978034348768392,0.0011924209821813896,0.0017571639188321277,10.959904999937862,0.0903342500096187,0.0013823750196024776,0.019434083020314574,11.071055707987398,0.03294562501832843,True,Optimization terminated successfully.,39,76,0.49032460283714474
400,400,400,1.5,134,133,133,20260806,20260807,0.06313531138889117,0.16599048652763315,0.0010782423725928497,0.006482074603516248,0.030472481665270282,3.942221082979813,0.018789749941788614,0.0006946669891476631,0.0037192919990047812,3.9654247919097543,0.03645170805975795,True,Optimization terminated successfully.,68,130,0.034112473737018006
600,600,600,1.5,200,200,200,20260806,20260807,0.06778721925959241,0.19767266624635793,0.0011947019901270462,0.0016312019631128222,0.0022854138049937,4.827587499981746,0.058218541904352605,0.0010775829432532191,0.008739500073716044,4.895623124903068,0.03645170805975795,True,Optimization terminated successfully.,34,67,0.27851408034385255
800,800,800,1.5,268,266,266,20260806,20260807,0.035727676062354004,0.12184691302020667,0.0006379373132669199,0.0020996508400406115,0.004162382345244885,16.607089583063498,0.0895127080148086,0.0014546249294653535,0.019030540948733687,16.717087456956506,0.03645170805975795,True,Optimization terminated successfully.,64,119,0.018390324851777266
400,400,400,2.0,134,133,133,20260906,20260907,0.34343910876568867,0.47022213344209973,0.006805254385223261,0.0021437454261195046,0.0031892970250474296,2.0170832079602405,0.018572542001493275,0.0006802079733461142,0.0034855420235544443,2.0398214999586344,0.040893750032410026,True,Optimization terminated successfully.,34,67,0.6897703729459312
600,600,600,2.0,200,200,200,20260906,20260907,0.2538800449366959,0.36886887405548663,0.00543935266714224,0.001713593740690504,0.0025465636279450527,4.571326959063299,0.04444204200990498,0.0010059159249067307,0.008820125018246472,4.625595042016357,0.040893750032410026,True,Optimization terminated successfully.,34,66,0.581971343420748
800,800,800,2.0,268,266,266,20260906,20260907,0.04055065994989351,0.08614125000245565,0.0007627761614859151,0.0020650485739431624,0.0032968446187964856,13.242638290976174,0.0919824589509517,0.0013687079772353172,0.023108125082217157,13.359097582986578,0.040893750032410026,True,Optimization terminated successfully.,47,95,0.035104929548499954
400,400,400,2.5,134,133,133,20261006,20261007,0.1265576088221394,0.2428463388485369,0.0023252065927561027,0.0024980880105164127,0.003973693383634236,5.984965999959968,0.018928749952465296,0.00067829096224159,0.0034246250288560987,6.007997665903531,0.04709000000730157,True,Optimization terminated successfully.,105,195,0.27951969485342615
600,600,600,2.5,200,200,200,20261006,20261007,0.04426738104184589,0.1427348064849383,0.0006180298160752712,0.004851659136277921,0.022803585614038217,7.066028541885316,0.0434893750352785,0.0009728340664878488,0.009423332987353206,7.119914083974436,0.04709000000730157,True,Optimization terminated successfully.,54,100,0.01981371865462994
800,800,800,2.5,268,266,266,20261006,20261007,0.037668675336065716,0.14902891386513772,0.0005789514874431353,0.004159306979664118,0.021741772557355727,14.745492416899651,0.09117745794355869,0.0014970829943194985,0.019541375106200576,14.85770833294373,0.04709000000730157,True,Optimization terminated successfully.,57,106,0.012380176667352298
