m,n_int,n_bd,maturity,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
400,400,400,0.5,1.0,0.5163853694772109,0.23105512274745024,,-0.6609019521747296,-1.4650989703148063,100.0,1.0,0.8,1.2,0.03180604239831565,True,45,89
600,600,600,0.5,1.0,0.5371570245551449,0.1510947772449193,,-0.621464816499738,-1.8898479751921577,100.0,1.0,0.8,1.2,0.01972319451168413,True,33,65
800,800,800,0.5,1.0,0.5684890191760258,0.13730226455285008,,-0.5647732814116435,-1.9855704728784584,100.0,1.0,0.8,1.2,0.01655932010386089,True,33,66
400,400,400,1.0,1.0,0.6013743971586446,0.25797899149626596,,-0.5085375814013595,-1.354877125685031,100.0,1.0,0.8,1.2,0.048204431500102535,True,29,57
600,600,600,1.0,1.0,0.5732047968058005,0.24589341699959075,,-0.5565122145952354,-1.4028571011651456,100.0,1.0,0.8,1.2,0.038399037019656475,True,33,64
800,800,800,1.0,1.0,0.6867779072077923,0.1836066124671733,,-0.3757443181992835,-1.6949597858278813,100.0,1.0,0.8,1.2,0.017607081922666128,True,39,77
400,400,400,1.5,1.0,1.0456466959544986,0.319434413878514,,0.04463554181278426,-1.1412033036123748,100.0,1.0,0.8,1.2,0.06281408423995365,True,40,78
600,600,600,1.5,1.0,0.6485609779267901,0.20882810041629812,,-0.4329992504606155,-1.5662438514909753,100.0,1.0,0.8,1.2,0.019961085187791234,True,38,72
800,800,800,1.5,1.0,0.6790108167288633,0.19514309211155315,,-0.3871182211690861,-1.634022183821882,100.0,1.0,0.8,1.2,0.01885688838557853,True,47,91
400,400,400,2.0,1.0,0.9612739211555367,0.26197963239232264,,-0.03949587300452309,-1.3394885172034705,100.0,1.0,0.8,1.2,0.03948018610502528,True,39,75
600,600,600,2.0,1.0,1.01972156696026,0.26872842111818407,,0.019529616463741035,-1.314053996277695,100.0,1.0,0.8,1.2,0.03893729346345905,True,42,79
800,800,800,2.0,1.0,0.9542967296113452,0.24880423479940791,,-0.04678061856747835,-1.3910888973640247,100.0,1.0,0.8,1.2,0.03843296477235079,True,43,84
400,400,400,2.5,1.0,0.7598846154754163,0.7908078192876726,,-0.27458867897072103,-0.23470029991504415,100.0,1.0,0.8,1.2,0.39562536177528695,True,32,64
600,600,600,2.5,1.0,0.7629105766740454,0.4040865445706661,,-0.27061445420692637,-0.9061262047283288,100.0,1.0,0.8,1.2,0.06506354068586806,True,40,72
800,800,800,2.5,1.0,0.6760897063949762,0.3069342116276912,,-0.3914295099755573,-1.181121848731601,100.0,1.0,0.8,1.2,0.03264991920680558,True,35,69
400,400,400,3.0,1.0,0.7081872175345915,0.505006198278181,,-0.34504678869824323,-0.6831845759639197,100.0,1.0,0.8,1.2,0.1100963761566443,True,31,60
600,600,600,3.0,1.0,0.7526811831802214,0.37446501729670284,,-0.28411353635042486,-0.9822568921458157,100.0,1.0,0.8,1.2,0.06148018428371324,True,37,72
800,800,800,3.0,1.0,1.127719170454183,0.24035386620345525,,0.12019715971628024,-1.4256429990488233,100.0,1.0,0.8,1.2,0.02891239300899772,True,56,106
