seed_index,seed_base,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
0,20260701,0.5,800,800,1.0,0.5973292526651081,0.13267402908345927,,-0.5152868056145292,-2.0198600683016688,100.0,1.0,0.8,1.2,0.021271261764488635,True,94,180
0,20260701,1.0,800,800,1.0,0.3725993614694247,0.1480671736177529,,-0.9872515345321005,-1.910089232392857,100.0,1.0,0.8,1.2,0.024474685246455706,True,47,94
0,20260701,1.5,800,800,1.0,0.9326583692833803,1.2840642021482211,,-0.06971630887249189,0.2500302056907969,100.0,1.0,0.8,1.2,0.8965173103592732,True,27,52
0,20260701,2.0,800,800,1.0,0.5167199618941163,0.20467218434979007,,-0.6602542110036334,-1.5863456805027063,100.0,1.0,0.8,1.2,0.04911539880482514,True,36,67
0,20260701,2.5,800,800,1.0,0.6169025235604993,0.16463117041126232,,-0.4830442520624789,-1.8040476380037234,100.0,1.0,0.8,1.2,0.02251339378451877,True,61,119
0,20260701,3.0,800,800,1.0,0.45300405904169094,0.6037524497813203,,-0.7918541931823131,-0.5045910164147747,100.0,1.0,0.8,1.2,0.19723994542948886,True,50,94
1,20270701,0.5,800,800,1.0,0.31595183598048343,0.15549072205929285,,-1.152165494795276,-1.8611692143564387,100.0,1.0,0.8,1.2,0.01176701656190052,True,47,91
1,20270701,1.0,800,800,1.0,1.1872178418125348,0.14197784035100347,,0.17161262179896103,-1.9520842874247206,100.0,1.0,0.8,1.2,0.04888311844659459,True,70,138
1,20270701,1.5,800,800,1.0,0.9330699063465078,0.9579258789306911,,-0.06927515452522992,-0.04298487464056032,100.0,1.0,0.8,1.2,0.4739461085284189,True,40,73
1,20270701,2.0,800,800,1.0,0.7135412253836301,0.2871754253374772,,-0.33751506464030795,-1.2476620118427655,100.0,1.0,0.8,1.2,0.05579311218865476,True,49,96
1,20270701,2.5,800,800,1.0,0.6801091474315083,1.235339734076707,,-0.38550198276379677,0.2113460205713061,100.0,1.0,0.8,1.2,0.9143584840259846,True,24,48
1,20270701,3.0,800,800,1.0,0.6803188642871159,1.1790055463532791,,-0.3851936726504173,0.16467132583024102,100.0,1.0,0.8,1.2,0.729768538032561,True,26,48
2,20280701,0.5,800,800,1.0,0.1561301539278382,0.1624405943262297,,-1.8570652995338621,-1.8174429174276299,100.0,1.0,0.8,1.2,0.013690709211840428,True,47,93
2,20280701,1.0,800,800,1.0,0.35688609743557953,0.19337851046579407,,-1.0303386029136083,-1.643105816584418,100.0,1.0,0.8,1.2,0.02894147471766667,True,81,151
2,20280701,1.5,800,800,1.0,0.6700777571732636,1.069903612521106,,-0.4003615178485589,0.06756856266023414,100.0,1.0,0.8,1.2,0.6257733572747686,True,42,77
2,20280701,2.0,800,800,1.0,0.8422564720122316,0.6909641938551243,,-0.17167071253119376,-0.3696672744222917,100.0,1.0,0.8,1.2,0.28830130598960674,True,38,72
2,20280701,2.5,800,800,1.0,1.135181749509231,0.13649411075678725,,0.12679276983984428,-1.9914738099268006,100.0,1.0,0.8,1.2,0.04133649721971351,True,81,152
2,20280701,3.0,800,800,1.0,0.7085295761675958,1.2467572728887897,,-0.34456347595544157,0.22054599890515494,100.0,1.0,0.8,1.2,0.997956649290887,True,26,50
3,20290701,0.5,800,800,1.0,0.3216426188325057,0.16919335655024528,,-1.1343142292121366,-1.7767130964683,100.0,1.0,0.8,1.2,0.021247557259340195,True,50,91
3,20290701,1.0,800,800,1.0,3.5132409155249382,1.0989517149879546,,1.2565389492200774,0.09435673904952145,100.0,1.0,0.8,1.2,0.623558955086383,True,62,120
3,20290701,1.5,800,800,1.0,0.733342883407544,1.160011484670216,,-0.31014190556016663,0.14842990564703545,100.0,1.0,0.8,1.2,0.9434689484007648,True,26,50
3,20290701,2.0,800,800,1.0,0.9405101053111484,0.1965216238744415,,-0.06133288568298716,-1.6269828085647937,100.0,1.0,0.8,1.2,0.04542937292570423,True,43,84
3,20290701,2.5,800,800,1.0,0.6110986224773927,0.17626534111371883,,-0.4924969212526956,-1.7357647992977099,100.0,1.0,0.8,1.2,0.02412338619169396,True,60,113
3,20290701,3.0,800,800,1.0,0.7535965194824608,0.15478206196570468,,-0.28289817425179997,-1.8657372033154918,100.0,1.0,0.8,1.2,0.017878134099313395,True,76,138
