seed_index,seed_base,n_int,n_bd,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
0,20260701,800,800,6,76,0.08476702367839678,0.4067090477959119,0.001588391034839409,0.0024829072290698385,0.041514503344763316,101.90292045881506,0.7013481678441167,0.00876716582570225,0.16092983493581414,0.24459854210726917,102.61303579248488,102.7739656274207,6,0,0.2018553325648417,0.8965173103592732
1,20270701,800,800,6,76,0.05496821624577809,0.2082282154174493,0.0012933722109023068,0.0015536092242777514,0.0035281572152217294,90.21941558399703,0.7396837919950485,0.00935399904847145,0.17325749876908958,0.2683595420094207,90.96845337504055,91.14171087380964,6,0,0.3724193962973524,0.9143584840259846
2,20280701,800,800,6,76,0.06656457172542997,0.354581791895086,0.001126289938298447,0.0021866985953502894,0.02456270450265466,113.07443783199415,0.7555453332606703,0.009493916993960738,0.1767057488905266,0.2775358349317685,113.83947708224878,114.0161828311393,6,0,0.3326666656174138,0.997956649290887
3,20290701,800,800,6,76,0.09268270070861383,0.585364087008788,0.0021540760458136628,0.0029674804757827008,0.03791769857783706,120.93553429201711,0.8209921671077609,0.009643748053349555,0.1886342071229592,0.29513020906597376,121.76617020717822,121.95480441430118,6,0,0.2792843923271999,0.9434689484007648
4,20300701,800,800,6,76,0.11552467990578508,0.5610012440204719,0.0016763071982645727,0.0019156014527348338,0.011242301268564674,118.4507125839591,0.9656619590241462,0.010654291952960193,0.20467362506315112,0.30359233415219933,119.42702883493621,119.63170245999936,6,0,0.30783098781233903,0.8539385890731489
5,20310701,800,800,6,76,0.0363033451982725,0.1384288601730077,0.000594246350900584,0.0030832632338217464,0.02327090412809395,180.29301466792822,1.1284538729814813,0.01263479224871844,0.2601291671162471,0.34451558405999094,181.43410333315842,181.69423250027467,6,0,0.047310163300002185,0.06932667667597363
6,20320701,800,800,6,76,0.04639076088602559,0.272523439742713,0.0009710165134463903,0.002742368983190708,0.034100161023683934,141.48034833394922,0.9313221259508282,0.01265095779672265,0.24348354211542755,0.3583471660967916,142.42432141769677,142.6678049598122,6,0,0.03346742074295102,0.09052860206862937
7,20330701,800,800,6,76,0.049843486959456264,0.31170377848729913,0.0009473322397283934,0.003356589827983984,0.04075784372409854,126.69077229208779,0.8583965421421453,0.011122294003143907,0.18927049986086786,0.3062280408339575,127.56029112823308,127.74956162809394,6,0,0.0323588758643945,0.073712189909386
8,20340701,800,800,6,76,0.037554881469247854,0.1466903483522355,0.0006318364002089831,0.0032510630550181426,0.022282650521881085,101.88439850020222,0.8458656242582947,0.010197291965596378,0.20376691699493676,0.29136812512297183,102.74046141642611,102.94422833342105,6,0,0.025914455723122762,0.047707886498873385
9,20350701,800,800,6,76,0.053055366908415655,0.329649195430501,0.0008156943844471721,0.0017277965713978724,0.011880819181471288,104.20512441697065,0.8375633758259937,0.010256331064738333,0.20701929193455726,0.2967816247837618,105.05294412386138,105.25996341579594,6,0,0.26912707597894,0.6773468130728465
